time_s,delta_front_equivalent_deg,carsim_yaw_rate_deg_s,carsim_lateral_accel_g
11.01,-0.10587020223855505,-0.5255023183925811,-0.00823271130625686
11.02,-0.10421945350609498,-0.5049880567654921,-0.008149386288793591
11.03,-0.0956119779725509,-0.4945904173106646,-0.007696088214749075
11.040000000000001,-0.09549406734880146,-0.48447379513839833,-0.007683863885839737
11.05,-0.09549406734880146,-0.46367851622874806,-0.007683863885839737
11.06,-0.09549406734880146,-0.46367851622874806,-0.007683863885839737
11.07,-0.09231048050762677,-0.46367851622874806,-0.007529438179822341
11.08,-0.08511793245904788,-0.46367851622874806,-0.007135016465422613
11.09,-0.08511793245904788,-0.4486440916116339,-0.007135016465422613
11.1,-0.08511793245904788,-0.4327666151468315,-0.007135016465422613
11.11,-0.08511793245904788,-0.4327666151468315,-0.007135016465422613
11.120000000000001,-0.08040150750915893,-0.4327666151468315,-0.007135016465422613
11.13,-0.07474179756929435,-0.4327666151468315,-0.007135016465422613
11.14,-0.07474179756929435,-0.41281438808486476,-0.007100588763596454
11.15,-0.07474179756929435,-0.40185471406491496,-0.006647290689551936
11.16,-0.07073283636188937,-0.3923001264577756,-0.006586169045005488
11.17,-0.06642909859511699,-0.3709428129829984,-0.006586169045005488
11.18,-0.06436566267954076,-0.3709428129829984,-0.006586169045005488
11.19,-0.06436566267954076,-0.3709428129829984,-0.0064806406546252535
11.200000000000001,-0.06436566267954076,-0.3709428129829984,-0.0060373216245883645
11.21,-0.06436566267954076,-0.35647042293100917,-0.0060373216245883645
11.22,-0.05658356151222481,-0.3400309119010819,-0.0060373216245883645
11.23,-0.053989527789787176,-0.3400309119010819,-0.0060373216245883645
11.24,-0.053989527789787176,-0.3400309119010819,-0.0060373216245883645
11.25,-0.05522758933913261,-0.3400309119010819,-0.005956241892026721
11.26,-0.058116399620941624,-0.32064071940424493,-0.00550294381798227
11.27,-0.04520518632062175,-0.3091190108191654,-0.005488474204171241
11.28,-0.043613392900033646,-0.3091190108191654,-0.005488474204171241
11.290000000000001,-0.043613392900033646,-0.3091190108191654,-0.005488474204171241
11.3,-0.043613392900033646,-0.3091190108191654,-0.005336293783055552
11.31,-0.04137309104883675,-0.3091190108191654,-0.004939626783754116
11.32,-0.03323725801028006,-0.2900098356048895,-0.004939626783754116
11.33,-0.03323725801028006,-0.2782071097372488,-0.004939626783754116
11.34,-0.03323725801028006,-0.2782071097372488,-0.004939626783754116
11.35,-0.03323725801028006,-0.2782071097372488,-0.004716345674084439
11.36,-0.03323725801028006,-0.2782071097372488,-0.0043907793633369925
11.370000000000001,-0.03123277740657626,-0.25418013207812096,-0.0043907793633369925
11.38,-0.02286112312052649,-0.2472952086553323,-0.0043907793633369925
11.39,-0.02286112312052649,-0.2472952086553323,-0.0043907793633369925
11.4,-0.02286112312052649,-0.2472952086553323,-0.004096397565113266
11.41,-0.02286112312052649,-0.24406350990585823,-0.0038419319429198683
11.42,-0.019323804408110018,-0.2183504285513577,-0.0038419319429198683
11.43,-0.012484988230772931,-0.21638330757341576,-0.0038419319429198683
11.44,-0.012484988230772931,-0.21638330757341576,-0.0038419319429198683
11.450000000000001,-0.010333119347386267,-0.21638330757341576,-0.003476449456142007
11.46,-0.015020066641337732,-0.20823380637909022,-0.003293084522502744
11.47,-0.010067820443955301,-0.1854714064914992,-0.003293084522502744
11.48,-0.0021088533410193594,-0.1854714064914992,-0.003293084522502744
11.49,-0.0021088533410193594,-0.1854714064914992,-0.003293084522502744
11.5,-0.0021088533410193594,-0.1854714064914992,-0.002856501347170952
11.51,-0.0021088533410193594,-0.17240410285232727,-0.0027442371020856204
11.52,0.0011926441239022965,-0.1545595054095827,-0.0027442371020856204
11.53,0.007913549677491947,-0.1545595054095827,-0.0027442371020856204
11.540000000000001,0.014988187102324897,-0.1545595054095827,-0.0027442371020856204
11.55,0.01734639957726819,-0.1545595054095827,-0.0027442371020856204
11.56,0.008738924043722857,-0.13657439932555787,-0.0027442371020856204
11.57,0.008267281548734198,-0.12364760432766615,-0.0027442371020856204
11.58,0.008267281548734198,-0.12364760432766615,-0.0025232012773175883
11.59,0.008267281548734198,-0.12364760432766615,-0.0021953896816684962
11.6,0.008267281548734198,-0.12364760432766615,-0.0021953896816684962
11.61,0.008797879355596137,-0.12364760432766615,-0.0021953896816684962
11.620000000000001,0.013101617122370207,-0.10594351552620249,-0.0021953896816684962
11.63,0.013455348993610991,-0.0927357032457496,-0.0021953896816684962
11.64,0.013455348993610991,-0.0927357032457496,-0.0021953896816684962
11.65,0.013455348993610991,-0.0927357032457496,-0.0021953896816684962
11.66,0.013455348993610991,-0.0927357032457496,-0.0021953896816684962
11.67,0.013042661810496235,-0.0927357032457496,-0.0021953896816684962
11.68,0.008738924043722928,-0.0927357032457496,-0.0021953896816684962
11.69,0.008267281548734198,-0.0927357032457496,-0.0021953896816684962
11.700000000000001,0.008267281548734198,-0.0927357032457496,-0.0021953896816684962
11.71,0.008267281548734198,-0.0927357032457496,-0.002271978844426764
11.72,0.008267281548734198,-0.0927357032457496,-0.0027252769184712817
11.73,0.008267281548734198,-0.0927357032457496,-0.0027442371020856204
11.74,0.008267281548734198,-0.0927357032457496,-0.0027442371020856204
11.75,0.008267281548734198,-0.0927357032457496,-0.0027442371020856204
11.76,0.008267281548734198,-0.0927357032457496,-0.0027442371020856204
11.77,0.008267281548734198,-0.0927357032457496,-0.0027442371020856204
11.78,0.006144890321285233,-0.0927357032457496,-0.0027442371020856204
11.790000000000001,-0.0021088533410193594,-0.0927357032457496,-0.003154126334697144
