Time_s,RoadWheelAngle_deg
6.24,-2.29438656420995
6.25,-2.30969883127822
6.26,-2.32444121472063
6.27,-2.33861007707467
6.28,-2.35220192238556
6.29,-2.36521339706886
6.3,-2.37764129073788
6.31,-2.38948253699582
6.32,-2.40073421419236
6.33,-2.4113935461445
6.34,-2.42145790282158
6.35,-2.43092480099419
6.36,-2.43979190484687
6.37,-2.44805702655441
6.38,-2.45571812682172
6.39,-2.46277331538693
6.4,-2.46922085148784
6.41,-2.47505914429139
6.42,-2.48028675328619
6.43,-2.48490238863795
6.44,-2.4889049115077
6.45,-2.49229333433282
6.46,-2.49506682107068
6.47,-2.49722468740492
6.48,-2.49876640091433
6.49,-2.49969158120415
6.5,-2.5
6.51,-2.49969158120415
6.52,-2.49876640091433
6.53,-2.49722468740492
6.54,-2.49506682107068
6.55,-2.49229333433282
6.56,-2.4889049115077
6.57,-2.48490238863795
6.58,-2.48028675328619
6.59,-2.47505914429139
6.6,-2.46922085148784
6.61,-2.46277331538693
6.62,-2.45571812682172
6.63,-2.44805702655441
6.64,-2.43979190484687
6.65,-2.43092480099419
6.66,-2.42145790282158
6.67,-2.4113935461445
6.68,-2.40073421419236
6.69,-2.38948253699583
6.7,-2.37764129073788
6.71,-2.36521339706886
6.72,-2.35220192238556
6.73,-2.33861007707467
6.74,-2.32444121472063
6.75,-2.30969883127822
6.76,-2.29438656420995
6.77,-2.27850819158861
6.78,-2.26206763116505
6.79,-2.24506893940154
6.8,-2.22751631047092
6.81,-2.20941407522173
6.82,-2.19076670010966
6.83,-2.17157878609548
6.84,-2.15185506750986
6.85,-2.13160041088523
6.86,-2.11081981375504
6.87,-2.08951840342068
6.88,-2.06770143568641
6.89,-2.04537429356256
6.9,-2.02254248593737
6.91,-1.99921164621773
6.92,-1.97538753093923
6.93,-1.95107601834582
6.94,-1.92628310693947
6.95,-1.90101491400008
6.96,-1.87527767407615
6.97,-1.84907773744652
6.98,-1.82242156855353
6.99,-1.79531574440797
7,-1.76776695296637
7.01,-1.73978199148079
7.02,-1.71136776482172
7.03,-1.68253128377443
7.04,-1.65327966330913
7.05,-1.62362012082546
7.06,-1.59355997437173
7.07,-1.56310664083926
7.08,-1.53226763413244
7.09,-1.50105056331471
7.1,-1.46946313073118
7.11,-1.4375131301082
7.12,-1.40520844463033
7.13,-1.37255704499533
7.14,-1.33956698744749
7.15,-1.30624641178987
7.16,-1.27260353937593
7.17,-1.23864667108102
7.18,-1.20438418525429
7.19,-1.16982453565144
7.2,-1.13497624934887
7.21,-1.09984792463979
7.22,-1.06444822891268
7.23,-1.02878589651277
7.24,-0.992869726586951
7.25,-0.956708580912725
7.26,-0.920311381711696
7.27,-0.883687109448145
7.28,-0.846844800613228
7.29,-0.809793545495374
7.3,-0.77254248593737
7.31,-0.735100813080761
7.32,-0.697477765098073
7.33,-0.659682624913432
7.34,-0.621724717912138
7.35,-0.583613409639765
7.36,-0.545358103491356
7.37,-0.506968238391281
7.38,-0.468453286464313
7.39,-0.429822750698525
7.4,-0.39108616260058
7.41,-0.352253079843956
7.42,-0.313333083910761
7.43,-0.274335777727614
7.44,-0.235270783296288
7.45,-0.196147739319612
7.46,-0.156976298823284
7.47,-0.117766126774107
7.48,-0.0785268976953228
7.49,-0.0392682932795507
7.5,-3.06161699786838e-16
7.51,0.03926829327955
7.52,0.0785268976953189
7.53,0.117766126774107
7.54,0.156976298823283
7.55,0.196147739319611
7.56,0.235270783296284
7.57,0.274335777727614
7.58,0.313333083910761
7.59,0.352253079843955
7.6,0.391086162600576
7.61,0.429822750698524
7.62,0.468453286464312
7.63,0.50696823839128
7.64,0.545358103491355
7.65,0.583613409639761
7.66,0.621724717912138
7.67,0.659682624913431
7.68,0.697477765098072
7.69,0.735100813080758
7.7,0.772542485937369
7.71,0.809793545495373
7.72,0.846844800613228
7.73,0.883687109448141
7.74,0.920311381711696
7.75,0.956708580912724
7.76,0.99286972658695
7.77,1.02878589651277
7.78,1.06444822891268
7.79,1.09984792463979
7.8,1.13497624934887
7.81,1.16982453565143
7.82,1.20438418525429
7.83,1.23864667108102
7.84,1.27260353937593
7.85,1.30624641178987
7.86,1.33956698744749
7.87,1.37255704499533
7.88,1.40520844463033
7.89,1.4375131301082
7.9,1.46946313073118
7.91,1.50105056331471
7.92,1.53226763413244
7.93,1.56310664083926
7.94,1.59355997437172
7.95,1.62362012082546
7.96,1.65327966330913
7.97,1.68253128377443
7.98,1.71136776482172
7.99,1.73978199148079
8,1.76776695296637
8.01,1.79531574440797
8.02,1.82242156855353
8.03,1.84907773744652
8.04,1.87527767407615
8.05,1.90101491400008
8.06,1.92628310693947
8.07,1.95107601834582
8.08,1.97538753093923
8.09,1.99921164621773
8.1,2.02254248593737
8.11,2.04537429356256
8.12,2.06770143568641
8.13,2.08951840342067
8.14,2.11081981375504
8.15,2.13160041088523
8.16,2.15185506750986
8.17,2.17157878609548
8.18,2.19076670010966
8.19,2.20941407522173
8.2,2.22751631047092
8.21,2.24506893940154
8.22,2.26206763116505
8.23,2.27850819158861
8.24,2.29438656420995
8.25,2.30969883127822
8.26,2.32444121472063
8.27,2.33861007707467
8.28,2.35220192238556
8.29,2.36521339706886
8.3,2.37764129073788
8.31,2.38948253699583
8.32,2.40073421419236
8.33,2.41139354614449
8.34,2.42145790282158
8.35,2.43092480099419
8.36,2.43979190484687
8.37,2.44805702655442
8.38,2.45571812682172
8.39,2.46277331538694
8.4,2.46922085148784
8.41,2.47505914429139
8.42,2.48028675328619
8.43,2.48490238863795
8.44,2.4889049115077
8.45,2.49229333433282
8.46,2.49506682107068
8.47,2.49722468740492
