Time_s,Steer_rad,Steer_deg,LateralVelocity_mps,YawRate_radps,LateralAcceleration_mps2,Sideslip_rad,YawAngle_rad,X_m,Y_m
5.883,-0.024695302719037,-1.41493661959877,-0.0752346852916375,-0.0708942612213319,-0.887677213996322,0.00773842477285414,-0.0123103297901439,57.1958333333333,3.5151794132185
5.884,-0.0247517772664753,-1.41817237281689,-0.0754330165961737,-0.0710884231711556,-0.88937329165315,0.00775882456417787,-0.0123813211467207,57.2055555555556,3.51498405065018
5.885,-0.0248081907413636,-1.42140462683566,-0.0756311560718976,-0.07128241228733,-0.891067249080525,0.00777920462453804,-0.0124525065788747,57.2152777777778,3.51478779870912
5.886,-0.0248645430045074,-1.42463337367981,-0.0758291032790661,-0.0714762280412091,-0.892759081454491,0.00779956490870394,-0.0125238859135076,57.225,3.51459065570137
5.887,-0.0249208339168631,-1.42785860538273,-0.0760268577782488,-0.0716698699055393,-0.894448783958591,0.00781990537147702,-0.0125954589769936,57.2347222222222,3.5143926199351
5.888,-0.0249770633395383,-1.43108031398648,-0.076224419130322,-0.0718633373544425,-0.89613635178397,0.00784022596769027,-0.0126672255951799,57.2444444444444,3.5141936897206
5.889,-0.0250332311337927,-1.43429849154181,-0.0764217868964632,-0.072056629863399,-0.897821780129493,0.00786052665220765,-0.0127391855933888,57.2541666666667,3.51399386337032
5.89,-0.0250893371610376,-1.4375131301082,-0.0766189606381455,-0.072249746909231,-0.899505064201802,0.00788080737992354,-0.0128113387964187,57.2638888888889,3.51379313919882
5.891,-0.0251453812828373,-1.44072422175383,-0.0768159399171324,-0.0724426879700866,-0.90118619921544,0.00790106810576219,-0.0128836850285453,57.2736111111111,3.51359151552282
5.892,-0.0252013633609082,-1.44393175855567,-0.0770127242954734,-0.0726354525254238,-0.902865180392907,0.00792130878467727,-0.0129562241135234,57.2833333333333,3.51338899066119
5.893,-0.0252572832571203,-1.44713573259943,-0.077209313335499,-0.072828040055995,-0.904542002964758,0.00794152937165133,-0.0130289558745876,57.2930555555555,3.51318556293494
5.894,-0.0253131408334966,-1.45033613597962,-0.0774057065998161,-0.0730204500438316,-0.90621666216969,0.00796172982169537,-0.0131018801344541,57.3027777777778,3.51298123066727
5.895,-0.0253689359522143,-1.45353296079958,-0.0776019036513043,-0.0732126819722295,-0.907889153254598,0.00798191008984844,-0.0131749967153218,57.3125,3.51277599218349
5.896,-0.0254246684756043,-1.45672619917144,-0.0777979040531115,-0.0734047353257342,-0.909559471474664,0.00800207013117719,-0.0132483054388733,57.3222222222222,3.51256984581114
5.897,-0.0254803382661523,-1.45991584321622,-0.0779937073686504,-0.0735966095901266,-0.911227612093432,0.00802220990077547,-0.0133218061262766,57.3319444444444,3.51236278987989
5.898,-0.0255359451864985,-1.46310188506377,-0.0781893131615948,-0.0737883042524091,-0.912893570382858,0.00804232935376404,-0.0133954985981859,57.3416666666667,3.5121548227216
5.899,-0.0255914890994385,-1.46628431685288,-0.0783847209958763,-0.0739798188007916,-0.914557341623403,0.00806242844529014,-0.0134693826747431,57.3513888888889,3.51194594267031
5.9,-0.025646969867923,-1.46946313073118,-0.0785799304356812,-0.0741711527246784,-0.91621892110407,0.00808250713052721,-0.013543458175579,57.3611111111111,3.51173614806226
5.901,-0.0257023873550589,-1.47263831885529,-0.0787749410454474,-0.0743623055146549,-0.917878304122476,0.00810256536467459,-0.0136177249198141,57.3708333333333,3.51152543723587
5.902,-0.025757741424109,-1.47580987339074,-0.0789697523898617,-0.0745532766624747,-0.919535485984925,0.00812260310295721,-0.0136921827260606,57.3805555555556,3.51131380853175
5.903,-0.0258130319384927,-1.47897778651203,-0.0791643640338574,-0.0747440656610472,-0.921190462006438,0.00814262030062534,-0.0137668314124224,57.3902777777778,3.51110126029272
5.904,-0.025868258761786,-1.48214205040265,-0.0793587755426115,-0.0749346720044248,-0.922843227510823,0.00816261691295433,-0.0138416707964973,57.4,3.51088779086382
5.905,-0.0259234217577223,-1.4853026572551,-0.0795529864815427,-0.0751250951877915,-0.924493777830734,0.00818259289524439,-0.0139167006953776,57.4097222222222,3.51067339859227
5.906,-0.0259785207901924,-1.48845959927089,-0.0797469964163093,-0.0753153347074503,-0.926142108307697,0.00820254820282038,-0.0139919209256513,57.4194444444444,3.51045808182752
5.907,-0.0260335557232449,-1.49161286866058,-0.0799408049128072,-0.0755053900608122,-0.927788214292189,0.0082224827910316,-0.0140673313034034,57.4291666666667,3.51024183892125
5.908,-0.0260885264210866,-1.4947624576438,-0.0801344115371683,-0.0756952607463846,-0.929432091143652,0.0082423966152516,-0.0141429316442167,57.4388888888889,3.51002466822735
5.909,-0.0261434327480826,-1.49790835844924,-0.0803278158557587,-0.0758849462637604,-0.931073734230556,0.00826228963087804,-0.0142187217631731,57.4486111111111,3.50980656810195
5.91,-0.0261982745687573,-1.50105056331471,-0.0805210174351774,-0.0760744461136066,-0.932713138930444,0.00828216179333254,-0.0142947014748547,57.4583333333333,3.50958753690341
5.911,-0.0262530517477938,-1.50418906448713,-0.080714015842255,-0.0762637597976543,-0.934350300629956,0.00830201305806051,-0.0143708705933447,57.4680555555556,3.50936757299231
5.912,-0.0263077641500347,-1.50732385422256,-0.0809068106440522,-0.0764528868186881,-0.935985214724876,0.00832184338053108,-0.0144472289322287,57.4777777777778,3.50914667473151
5.913,-0.0263624116404829,-1.51045492478622,-0.0810994014078594,-0.0766418266805356,-0.937617876620178,0.00834165271623696,-0.0145237763045954,57.4875,3.50892484048608
5.914,-0.0264169940843009,-1.5135822684525,-0.0812917877011951,-0.0768305788880576,-0.939248281730037,0.00836144102069435,-0.014600512523038,57.4972222222222,3.50870206862337
5.915,-0.026471511346812,-1.516705877505,-0.0814839690918058,-0.0770191429471386,-0.940876425477891,0.00838120824944288,-0.014677437399655,57.5069444444444,3.50847835751297
5.916,-0.0265259632935004,-1.51982574423651,-0.0816759451476647,-0.0772075183646769,-0.942502303296446,0.00840095435804551,-0.0147545507460514,57.5166666666667,3.50825370552674
5.917,-0.0265803497900112,-1.52294186094908,-0.0818677154369718,-0.0773957046485752,-0.944125910627716,0.00842067930208853,-0.0148318523733395,57.5263888888889,3.50802811103881
5.918,-0.0266346707021512,-1.52605421995401,-0.0820592795281531,-0.0775837013077317,-0.945747242923065,0.00844038303718146,-0.01490934209214,57.5361111111111,3.50780157242556
5.919,-0.0266889258958889,-1.52916281357184,-0.0822506369898604,-0.0777715078520311,-0.947366295643211,0.00846006551895707,-0.014987019712583,57.5458333333333,3.50757408806568
5.92,-0.0267431152373549,-1.53226763413244,-0.0824417873909712,-0.0779591237923357,-0.948983064258259,0.00847972670307132,-0.015064885044309,57.5555555555556,3.50734565634009
5.921,-0.0267972385928427,-1.53536867397497,-0.0826327303005886,-0.0781465486404769,-0.950597544247742,0.0084993665452034,-0.01514293789647,57.5652777777778,3.50711627563205
5.922,-0.026851295828808,-1.53846592544793,-0.0828234652880415,-0.0783337819092467,-0.952209731100612,0.0085189850010557,-0.0152211780777299,57.575,3.50688594432706
5.923,-0.02690528681187,-1.54155938090915,-0.0830139919228843,-0.0785208231123896,-0.953819620315294,0.00853858202635382,-0.0152996053962663,57.5847222222222,3.50665466081295
5.924,-0.0269592114088115,-1.54464903272584,-0.0832043097748977,-0.0787076717645945,-0.955427207399679,0.00855815757684662,-0.0153782196597707,57.5944444444444,3.50642242347982
5.925,-0.0270130694865787,-1.54773487327458,-0.0833944184140887,-0.0788943273814872,-0.957032487871155,0.00857771160830627,-0.01545702067545,57.6041666666667,3.50618923072009
5.926,-0.0270668609122823,-1.55081689494139,-0.083584317410691,-0.0790807894796219,-0.958635457256634,0.00859724407652822,-0.0155360082500271,57.6138888888889,3.50595508092848
5.927,-0.0271205855531972,-1.55389509012167,-0.0837740063351659,-0.0792670575764744,-0.960236111092548,0.00861675493733135,-0.0156151821897418,57.6236111111111,3.50571997250203
5.928,-0.0271742432767631,-1.55696945122028,-0.0839634847582025,-0.0794531311904345,-0.961834444924872,0.00863624414655797,-0.0156945423003521,57.6333333333333,3.50548390384007
5.929,-0.0272278339505852,-1.56003997065155,-0.0841527522507185,-0.079639009840799,-0.963430454309155,0.0086557116600739,-0.0157740883871345,57.6430555555556,3.50524687334428
5.93,-0.0272813574424336,-1.56310664083926,-0.0843418083838612,-0.0798246930477641,-0.9650241348105,0.00867515743376858,-0.0158538202548855,57.6527777777778,3.50500887941865
5.931,-0.0273348136202445,-1.56616945421673,-0.0845306527290083,-0.0800101803324191,-0.966615482003612,0.00869458142355514,-0.0159337377079223,57.6625,3.5047699204695
5.932,-0.02738820235212,-1.56922840322675,-0.0847192848577684,-0.0801954712167395,-0.968204491472778,0.00871398358537047,-0.0160138405500833,57.6722222222222,3.50452999490548
5.933,-0.0274415235063288,-1.57228348032168,-0.0849077043419828,-0.0803805652235803,-0.969791158811892,0.00873336387517538,-0.0160941285847296,57.6819444444444,3.50428910113758
5.934,-0.0274947769513063,-1.57533467796342,-0.0850959107537259,-0.0805654618766698,-0.971375479624473,0.00875272224895466,-0.0161746016147455,57.6916666666667,3.50404723757915
5.935,-0.0275479625556548,-1.57838198862345,-0.0852839036653066,-0.0807501607006029,-0.972957449523652,0.00877205866271725,-0.0162552594425396,57.7013888888889,3.50380440264585
5.936,-0.0276010801881441,-1.58142540478281,-0.0854716826492698,-0.0809346612208356,-0.974537064132188,0.00879137307249632,-0.0163361018700452,57.7111111111111,3.50356059475573
5.937,-0.0276541297177119,-1.5844649189322,-0.0856592472783972,-0.0811189629636782,-0.97611431908249,0.00881066543434943,-0.0164171286987218,57.7208333333333,3.50331581232916
5.938,-0.0277071110134635,-1.5875005235719,-0.0858465971257091,-0.0813030654562901,-0.977689210016592,0.00882993570435865,-0.0164983397295555,57.7305555555555,3.50307005378889
5.939,-0.0277600239446731,-1.59053221121187,-0.0860337317644654,-0.0814869682266738,-0.97926173258619,0.00884918383863072,-0.0165797347630599,57.7402777777778,3.50282331756004
5.94,-0.0278128683807831,-1.59355997437173,-0.0862206507681675,-0.081670670803669,-0.98083188245262,0.00886840979329723,-0.0166613135992773,57.75,3.50257560207008
5.941,-0.0278656441914051,-1.59658380558075,-0.0864073537105595,-0.0818541727169479,-0.982399655286872,0.0088876135245147,-0.016743076037779,57.7597222222222,3.50232690574887
5.942,-0.0279183512463202,-1.59960369737795,-0.0865938401656302,-0.0820374734970088,-0.983965046769601,0.00890679498846482,-0.0168250218776665,57.7694444444444,3.50207722702862
5.943,-0.0279709894154788,-1.60261964231203,-0.0867801097076141,-0.0822205726751718,-0.985528052591114,0.00892595414135459,-0.0169071509175721,57.7791666666667,3.50182656434396
5.944,-0.0280235585690015,-1.60563163294146,-0.0869661619109938,-0.0824034697835731,-0.987088668451372,0.0089450909394165,-0.0169894629556599,57.7888888888889,3.50157491613187
5.945,-0.0280760585771793,-1.60863966183445,-0.0871519963505012,-0.0825861643551602,-0.98864689006001,0.00896420533890869,-0.0170719577896266,57.7986111111111,3.50132228083175
5.946,-0.0281284893104734,-1.61164372156898,-0.0873376126011197,-0.0827686559236872,-0.990202713136308,0.00898329729611517,-0.0171546352167022,57.8083333333333,3.50106865688537
5.947,-0.0281808506395164,-1.61464380473284,-0.0875230102380857,-0.0829509440237097,-0.991756133409216,0.00900236676734596,-0.0172374950336508,57.8180555555556,3.50081404273691
5.948,-0.0282331424351118,-1.61763990392361,-0.0877081888368908,-0.0831330281905802,-0.993307146617336,0.00902141370893734,-0.0173205370367716,57.8277777777778,3.50055843683294
5.949,-0.0282853645682347,-1.62063201174873,-0.0878931479732835,-0.083314907960444,-0.994855748508922,0.00904043807725201,-0.0174037610218993,57.8375,3.50030183762247
5.95,-0.0283375169100324,-1.62362012082546,-0.0880778872232712,-0.083496582870234,-0.996401934841892,0.00905943982867933,-0.0174871667844055,57.8472222222222,3.50004424355688
5.951,-0.0283895993318241,-1.62660422378094,-0.0882624061631225,-0.0836780524576672,-0.997945701383804,0.00907841891963546,-0.0175707541191987,57.8569444444444,3.49978565309
5.952,-0.0284416117051015,-1.6295843132522,-0.0884467043693687,-0.0838593162612396,-0.999487043911864,0.00909737530656364,-0.0176545228207258,57.8666666666667,3.49952606467806
5.953,-0.0284935539015294,-1.63256038188615,-0.0886307814188065,-0.084040373820223,-1.00102595821293,0.00911630894593438,-0.0177384726829726,57.8763888888889,3.49926547677971
5.954,-0.0285454257929454,-1.63553242233965,-0.0888146368884995,-0.0842212246746601,-1.00256244008348,0.00913521979424566,-0.0178226034994644,57.8861111111111,3.49900388785604
5.955,-0.0285972272513609,-1.63850042727948,-0.088998270355781,-0.0844018683653612,-1.00409648532965,0.00915410780802319,-0.017906915063267,57.8958333333333,3.49874129637058
5.956,-0.028648958148961,-1.64146438938239,-0.0891816813982556,-0.0845823044339002,-1.00562808976718,0.00917297294382058,-0.0179914071669874,57.9055555555556,3.49847770078927
5.957,-0.0287006183581047,-1.64442430133509,-0.0893648695938019,-0.0847625324226104,-1.00715724922144,0.00919181515821963,-0.0180760796027746,57.9152777777778,3.49821309958052
5.958,-0.0287522077513257,-1.64738015583429,-0.0895478345205745,-0.0849425518745818,-1.00868395952743,0.00921063440783052,-0.0181609321623201,57.925,3.49794749121516
5.959,-0.0288037262013322,-1.65033194558672,-0.0897305757570062,-0.0851223623336565,-1.01020821652974,0.00922943064929206,-0.0182459646368591,57.9347222222222,3.49768087416649
5.96,-0.0288551735810076,-1.65327966330913,-0.0899130928818104,-0.0853019633444258,-1.01173001608257,0.00924820383927193,-0.018331176817171,57.9444444444444,3.49741324691025
5.961,-0.0289065497634106,-1.65622330172832,-0.0900953854739838,-0.085481354452227,-1.01324935404971,0.0092669539344669,-0.01841656849358,57.9541666666667,3.49714460792465
5.962,-0.0289578546217756,-1.65916285358115,-0.0902774531128079,-0.0856605352031396,-1.01476622630455,0.0092856808916031,-0.0185021394559561,57.9638888888889,3.49687495569034
5.963,-0.0290090880295129,-1.66209831161457,-0.0904592953778523,-0.0858395051439822,-1.01628062873005,0.00930438466743624,-0.0185878894937159,57.9736111111111,3.49660428869046
5.964,-0.0290602498602092,-1.66502966858563,-0.0906409118489766,-0.0860182638223096,-1.01779255721874,0.00932306521875188,-0.0186738183958229,57.9833333333333,3.4963326054106
5.965,-0.0291113399876278,-1.6679569172615,-0.0908223021063328,-0.0861968107864096,-1.01930200767272,0.00934172250236566,-0.0187599259507887,57.9930555555556,3.49605990433883
5.966,-0.0291623582857088,-1.67088005041948,-0.0910034657303679,-0.0863751455853,-1.02080897600364,0.00936035647512356,-0.0188462119466736,58.0027777777778,3.49578618396571
5.967,-0.0292133046285698,-1.67379906084704,-0.0911844023018265,-0.0865532677687258,-1.02231345813268,0.00937896709390215,-0.0189326761710872,58.0125,3.49551144278428
5.968,-0.0292641788905055,-1.6767139413418,-0.0913651114017529,-0.0867311768871562,-1.02381544999058,0.00939755431560887,-0.0190193184111891,58.0222222222222,3.49523567929004
5.969,-0.0293149809459889,-1.67962468471159,-0.091545592611494,-0.086908872491782,-1.0253149475176,0.00941611809718224,-0.0191061384536899,58.0319444444444,3.49495889198101
5.97,-0.0293657106696709,-1.68253128377443,-0.0917258455127016,-0.0870863541345127,-1.0268119466635,0.00943465839559216,-0.0191931360848517,58.0416666666667,3.49468107935769
5.971,-0.029416367936381,-1.68543373135859,-0.0919058696873349,-0.0872636213679744,-1.02830644338757,0.00945317516784016,-0.0192803110904888,58.0513888888889,3.49440223992308
5.972,-0.0294669526211275,-1.68833202030256,-0.0920856647176631,-0.0874406737455066,-1.02979843365857,0.00947166837095964,-0.0193676632559686,58.0611111111111,3.4941223721827
5.973,-0.0295174645990975,-1.6912261434551,-0.0922652301862683,-0.0876175108211601,-1.03128791345475,0.00949013796201616,-0.0194551923662122,58.0708333333333,3.49384147464454
5.974,-0.0295679037456579,-1.69411609367526,-0.0924445656760473,-0.0877941321496947,-1.03277487876386,0.00950858389810772,-0.0195428982056949,58.0805555555556,3.49355954581913
5.975,-0.0296182699363551,-1.69700186383236,-0.0926236707702149,-0.0879705372865766,-1.03425932558307,0.00952700613636497,-0.0196307805584474,58.0902777777778,3.49327658421951
5.976,-0.0296685630469154,-1.69988344680605,-0.0928025450523064,-0.0881467257879763,-1.03574124991905,0.00954540463395152,-0.0197188392080559,58.1,3.49299258836122
5.977,-0.0297187829532457,-1.70276083548632,-0.0929811881061797,-0.0883226972107661,-1.03722064778787,0.0095637793480642,-0.0198070739376634,58.1097222222222,3.49270755676236
5.978,-0.0297689295314334,-1.70563402277349,-0.0931595995160187,-0.0884984511125184,-1.03869751521506,0.00958213023593335,-0.0198954845299701,58.1194444444444,3.49242148794351
5.979,-0.0298190026577466,-1.70850300157827,-0.0933377788663351,-0.0886739870515034,-1.04017184823554,0.00960045725482304,-0.0199840707672339,58.1291666666667,3.49213438042782
5.98,-0.029869002208635,-1.71136776482172,-0.0935157257419718,-0.0888493045866868,-1.04164364289366,0.00961876036203138,-0.0200728324312715,58.1388888888889,3.49184623274095
5.981,-0.0299189280607297,-1.71422830543534,-0.0936934397281049,-0.0890244032777283,-1.04311289524315,0.00963703951489079,-0.0201617693034589,58.1486111111111,3.49155704341111
5.982,-0.0299687800908435,-1.71708461636102,-0.093870920410247,-0.0891992826849794,-1.04457960134714,0.00965529467076826,-0.020250881164732,58.1583333333333,3.49126681096905
5.983,-0.0300185581759716,-1.7199366905511,-0.0940481673742492,-0.0893739423694817,-1.04604375727811,0.00967352578706563,-0.0203401677955876,58.1680555555556,3.49097553394806
5.984,-0.0300682621932914,-1.72278452096837,-0.0942251802063042,-0.0895483818929648,-1.04750535911791,0.00969173282121986,-0.0204296289760836,58.1777777777778,3.49068321088398
5.985,-0.0301178920201632,-1.72562810058609,-0.0944019584929488,-0.0897226008178449,-1.04896440295774,0.00970991573070331,-0.0205192644858403,58.1875,3.49038984031522
5.986,-0.0301674475341304,-1.72846742238802,-0.0945785018210668,-0.089896598707223,-1.05042088489812,0.00972807447302402,-0.0206090741040405,58.1972222222222,3.49009542078274
5.987,-0.0302169286129197,-1.7313024793684,-0.0947548097778913,-0.0900703751248832,-1.05187480104891,0.00974620900572596,-0.0206990576094305,58.2069444444444,3.48979995083005
5.988,-0.0302663351344414,-1.73413326453201,-0.0949308819510076,-0.0902439296352909,-1.05332614752927,0.00976431928638935,-0.0207892147803208,58.2166666666667,3.48950342900323
5.989,-0.0303156669767899,-1.73695977089418,-0.095106717928356,-0.0904172618035918,-1.05477492046766,0.0097824052726309,-0.0208795453945867,58.2263888888889,3.48920585385095
5.99,-0.0303649240182437,-1.73978199148079,-0.0952823172982341,-0.0905903711956099,-1.05622111600182,0.00980046692210408,-0.0209700492296689,58.2361111111111,3.48890722392443
5.991,-0.0304141061372659,-1.74259991932827,-0.0954576796493002,-0.0907632573778463,-1.05766473027877,0.00981850419249945,-0.0210607260625743,58.2458333333333,3.48860753777748
5.992,-0.0304632132125046,-1.74541354748368,-0.095632804570575,-0.0909359199174778,-1.05910575945478,0.00983651704154486,-0.0211515756698767,58.2555555555556,3.48830679396648
5.993,-0.030512245122793,-1.74822286900467,-0.0958076916514453,-0.0911083583823553,-1.06054419969538,0.0098545054270058,-0.0212425978277173,58.2652777777778,3.4880049910504
5.994,-0.0305612017471497,-1.75102787695952,-0.0959823404816658,-0.0912805723410028,-1.06198004717531,0.00987246930668563,-0.0213337923118057,58.275,3.48770212759081
5.995,-0.0306100829647791,-1.75382856442714,-0.0961567506513625,-0.0914525613626159,-1.06341329807857,0.00989040863842586,-0.02142515889742,58.2847222222222,3.48739820215186
5.996,-0.0306588886550716,-1.75662492449712,-0.0963309217510351,-0.091624325017061,-1.06484394859834,0.00990832338010647,-0.0215166973594082,58.2944444444444,3.4870932133003
5.997,-0.0307076186976041,-1.75941695026973,-0.0965048533715595,-0.0917958628748733,-1.06627199493699,0.00992621348964612,-0.0216084074721882,58.3041666666667,3.48678715960547
